question,answer_detail,answer
"A 47-year-old man comes to the emergency department complaining of weight gain and abdominal discomfort. He states that over the past month he has gained 10 lbs. This week he began experiencing mild, diffuse abdominal discomfort. He denies nausea, vomiting, constipation, or diarrhea. The patient has not seen a physician in years and takes no medications. He is a truck driver. He states that he drinks a 6-pack of beer per night. On physical examination, there is jaundice, hepatomegaly, and a positive fluid wave. An abdominal ultrasound reveals cirrhosis, portal vein dilation, and moderate ascites. He undergoes a paracentesis that relieves his symptoms. Fluid analysis is shown below:

Serum:
Albumin: 4.0 g/dL

Ascitic fluid:
Color: Yellow
Leukocyte count: 100/mm^3 with 50% neutrophils
Protein: 2.3 g/dL
Albumin: 1.9 g/dL

A culture is pending. He is discharged and instructed to follow-up with a gastroenterologist for an upper endoscopy. Upper endoscopy reveals multiple, small non-bleeding esophageal varices. Which of the following is the next best step in management of the patient’s condition?",Propranolol,D
"A 42-year-old man presents to his primary care provider for abdominal pain. He reports that for several months he has been experiencing a stabbing pain above the umbilicus during meals. He denies associated symptoms of nausea, vomiting, or diarrhea. The patient’s past medical history is significant for hypertension and hyperlipidemia for which he takes amlodipine and atorvastatin. His family history is significant for lung cancer in his father. The patient is a current smoker with a 20 pack-year smoking history and drinks 3-5 beers per week. Initial laboratory testing is as follows:

Serum:
Na+: 141 mEq/L
K+: 4.6 mEq/L
Cl-: 102 mEq/L
HCO3-: 25 mEq/L
Urea nitrogen: 14 mg/dL
Creatinine: 1.1 mg/dL
Glucose: 120 mg/dL
Calcium: 8.4 mg/dL
Alkaline phosphatase: 66 U/L
Aspartate aminotransferase (AST): 40 U/L
Alanine aminotransferase (ALT): 52 U/L
Gastrin: 96 pg/mL (<100 pg/mL)
Lipase: 90 U/L (<160 U/L)

The patient is started on a proton pump inhibitor without symptomatic improvement after 6 weeks. He is referred for an upper endoscopy, which demonstrates erosive gastritis, three ulcers in the duodenum, and one ulcer in the jejunum. Biopsy of the gastric mucosa is negative for H. pylori. Which of the following is the best next step in management?",Secretin stimulation test,C
"A 53-year-old woman presents to the office complaining of an extreme, nonradiating stabbing pain in the epigastric region after having a meal. She states that it has happened several times in the past week approximately 30 minutes after eating and spontaneously resolves. A day before, the patient went to urgent care with the same complaint, but the abdominal X-ray was normal. Surgical history is remarkable for a total knee arthroplasty procedure 6 months ago. She has lost 34 kg (75 lb) since the operation because of lifestyle changes. The vital signs are normal. Laparoscopic surgical scars are well healed. Endoscopy shows benign mucosa to the proximal duodenum. A barium swallow study reveals an extremely narrowed duodenum. Which of the following structures is most likely responsible for this patient’s current symptoms?",Superior mesenteric artery,A
"A 50-year-old man presents to the emergency department complaining of chest pain and drooling that started immediately after eating a steak. His past medical history is significant for lye ingestion 5 years ago during a suicidal attempt. He also suffers from hypertension and diabetes mellitus, type 2. He takes fluoxetine, lisinopril, and metformin every day. He also regularly sees a counselor to cope with his previous suicide attempt. Both of his parents are still alive and in good health. His heart rate is 96/min, temperature is 36.7°C (98.1°F).On physical examination, the patient can talk normally and breaths without effort. He is drooling. The chest pain is vague and constant. A chest X-ray shows no subcutaneous emphysema. An endoscopy confirms the presence of a retained bolus of meat 24 cm beyond the incisors where a stricture is identified. The bolus is removed and the stricture is dilated. Which of the following anatomic spaces contains the stricture?",The superior mediastinum,A
"A 47-year-old man presents with upper GI (upper gastrointestinal) bleeding. The patient is known to have a past medical history of peptic ulcer disease and was previously admitted 4 years ago for the same reason. He uses proton-pump inhibitors for his peptic ulcer. Upon admission, the patient is placed on close monitoring, and after 8 hours, his hematocrit is unchanged. The patient has also been hemodynamically stable after initial fluid resuscitation. An upper endoscopy is performed. Which of the following endoscopy findings most likely indicates that this patient will not experience additional GI bleeding in the next few days?",Clean-based ulcer,E
"A 62-year-old man presents with epigastric pain over the last 6 months. He says the pain gets worse with food, especially coffee. He also complains of excessive belching. He says he has tried omeprazole recently, but it has not helped. No significant past medical history or current medications. On physical examination, there is epigastric tenderness present on deep palpation. An upper endoscopy is performed which reveals gastric mucosa with signs of mild inflammation and a small hemorrhagic ulcer in the antrum. A gastric biopsy shows active inflammation, and the specimen stains positive with Warthin–Starry stain, revealing Helicobacter pylori. Which of the following is the next, best step in the management of this patient’s condition?","Give amoxicillin, clarithromycin, and omeprazole",D
"A 48-year-old woman visits the clinic with unintentional weight loss for the past 3 months. She is also concerned about difficulty swallowing solid food. She also has early satiety and mild abdominal discomfort. An upper gastrointestinal endoscopy is advised along with a biopsy. The histopathological report reveals gastric adenocarcinoma. She then undergoes a subtotal gastrectomy and is started on an adjuvant chemotherapy regimen with platinum and fluoropyrimidine. 2 weeks later she develops acute respiratory distress and chest pain. A D-dimer test is positive. Her blood pressure is 125/78, heart rate is 110/min, and oxygen saturation is 88%. CT scan of the chest reveals a clot in the anterior segmental artery in the right upper lung. Which of the following therapies should the patient be started on for her acute condition?",Low-molecular weight heparin,C
"A 32-year-old man presents to the clinic for mild intermittent epigastric pain for the past 6 months and lethargy for the past month. He denies any history of smoking or alcohol use. No significant family history. His blood pressure is 144/86 mm Hg, the pulse is 98/min, and the respiratory rate is 15/min. On physical examination, the patient looks pale. Laboratory findings are significant for a hemoglobin of 10 g/dL, leukocyte count of 7000/mm3 and an MCV of 94 μm. A urease breath test is negative. Endoscopy is performed, and it shows erythema in the body and fundus of the stomach and the absence of any bleeding. There is hypertrophy of the gastric antrum. Which of the following cell types play the greatest role in producing the antibodies that cause this patient’s condition?",Plasma cell,D
"A 60-year-old man presented to the hospital with right upper quadrant abdominal pain. He has a history of hepatitis B. He underwent a CT of his abdomen which revealed a large mass (11.3 cm x 7.2 cm in diameter) with a metastatic retroperitoneal lymph node. He was diagnosed with hepatocellular carcinoma and initially received radiotherapy while on the transplant list to prevent local expansion of his malignancy. 3 months after radiotherapy, the patient experienced hematemesis and melena. He was admitted to the emergency department for evaluation. His vitals were: blood pressure 84/56 mmHg, heart rate 92/min, and respiratory rate 20/min. Laboratory evaluation revealed severe anemia with a hemoglobin level of 5.7 g/dL, INR 1.8 and platelets of 68,000 cells/mm3. He received a blood transfusion. An endoscopic examination demonstrated diffuse edematous hyperemic mucosa and multiple hemorrhagic patches with active oozing in the antrum. What is the most likely diagnosis for the lesions seen in endoscopy?",Intrinsic apoptotic pathway,A
A 52-year-old woman presents with mild epigastric pain and persistent heartburn for the past 2 months. An endoscopy is performed and reveals inflammation of the stomach mucosa without evidence of ulceration. A biopsy is performed and reveals intestinal metaplasia with destruction of a large number of parietal cells. She is diagnosed with chronic atrophic gastritis. Which of the following is characteristic of this patient’s diagnosis?,Destruction of the mucosa of the stomach is mediated by T cells.,D
"A 72-year-old woman presents to her primary care provider complaining of fatigue for the last 6 months. She can barely complete her morning chores before having to take a long break in her chair. She rarely climbs the stairs to the second floor of her house anymore because it is too tiring. Past medical history is significant for Hashimoto's thyroiditis, hypertension, and hyperlipidemia. She takes levothyroxine, chlorthalidone, and atorvastatin. Her daughter developed systemic lupus erythematosus. She is retired and lives by herself in an old house build in 1945 and does not smoke and only occasionally drinks alcohol. She eats a well-balanced diet with oatmeal in the morning and some protein such as a hardboiled egg in the afternoon and at dinner. Today, her blood pressure is 135/92 mm Hg, heart rate is 110/min, respiratory rate is 22/min, and temperature is 37.0°C (98.6°F). On physical exam, she appears frail and her conjunctiva are pale. Her heart is tachycardic with a regular rhythm and her lungs are clear to auscultation bilaterally. A complete blood count (CBC) shows that she has macrocytic anemia. Peripheral blood smear shows a decreased red blood cell count, anisocytosis, and poikilocytosis with occasional hypersegmented neutrophils. An endoscopy and colonoscopy are performed to rule out an occult GI bleed. Her colonoscopy was normal. Endoscopy shows thin and smooth gastric mucosa without rugae. Which of the following is the most likely cause of this patient’s condition?",Pernicious anemia,B
A 58-year-old department store manager comes to his doctor’s office complaining that he had recently been waking up in the middle of the night with abdominal pain. This has happened several nights a week in the past month. He has also been experiencing occasional discomfort in the afternoon. The patient's appetite has suffered as a result of the pain he was experiencing. His clothes hang on him loosely. The patient does not take any prescription or over the counter medications. The remainder of the patient’s history and physical exam is completely normal. The doctor refers the patient to a gastroenterologist for a stomach acid test and an upper gastrointestinal endoscopy which revealed that this patient is a heavy acid producer and has a gastric peptic ulcer. This ulcer is most likely found in which part of the stomach?,In the pyloric channel within 3 cm of the pylorus,A
"A 51-year-old man seeks evaluation from his family physician with a complaint of heartburn, which has been gradually increasing over the last 10 years. The heartburn gets worse after eating spicy foods and improves with antacids. The past medical history is benign. He is a security guard and works long hours at night. He admits to smoking 1.5 packs of cigarettes every day. Upper gastrointestinal endoscopy reveals several gastric ulcers and regions of inflammation. A biopsy is obtained, which revealed gram-negative bacteria colonized on the surface of the regenerative epithelium of the stomach, as shown in the micrograph below. Which of the following bacterial products is responsible for neutralizing the acidity of the stomach?",Urease,C
"A 25-year-old man presents to the emergency department after numerous episodes of vomiting. The patient states that he thinks he ‘ate something weird’ and has been vomiting for the past 48 hours. He says that he came to the hospital because the last few times he ""threw up blood"". He is hypotensive with a blood pressure of 90/55 mm Hg and a pulse of 120/min. After opening an intravenous line, a physical examination is performed which is normal except for mild epigastric tenderness. An immediate endoscopy is performed and a tear involving the mucosa and submucosa of the gastroesophageal junction is visualized. Which of the following is the most likely diagnosis?",Mallory-Weiss tear,E
"A 48-year-old woman with a history of osteoarthritis and hypertension presents to the office complaining of persistent abdominal pain for the last 2 months. She describes the pain as 'burning and achy' that is worse when she eats, which has lead to a weight loss of 4.5 kg (10.0 lb). The patient is currently taking lisinopril and atenolol for her blood pressure and ibuprofen as needed for her osteoarthritis. Her temperature is 37.1°C (98.7°F), heart rate is 75/min, and blood pressure is 120/80 mm Hg. An endoscopy is performed and a gastric ulcer is visualized and biopsied. The biopsy reveals H. pylori infection. Which of the following is the most likely predisposing factor to this patient’s diagnosis?",Chronic NSAID use,A
A 13-year-old boy is brought to the pediatrician by his parents who are concerned about his short stature. He also has had recurrent episodes of diarrhea. Past medical history is significant for iron deficiency anemia diagnosed 6 months ago. Physical examination is unremarkable except that he is in the 9th percentile for height. Serum anti-tissue transglutaminase (anti-tTG) antibodies are positive. An upper endoscopy along with small bowel luminal biopsy is performed. Which of the following histopathologic changes would most likely be present in the mucosa of the duodenal biopsy in this patient?,Blunting of the intestinal villi,B
"A 65-year-old woman was referred to a specialist for dysphagia and weight loss. She has a history of difficulty swallowing solid foods, which has become worse over the past year. She has unintentionally lost 2.3 kg (5 lb). A previous gastroscopy showed mild gastritis with a positive culture for Helicobacter pylori. A course of triple antibiotic therapy and omeprazole was prescribed. Follow-up endoscopy appeared normal with no H. pylori noted on biopsy. Her heartburn improved but the dysphagia persisted. She had a myocardial infarction four years ago, complicated by acute mitral regurgitation. Physical examination revealed a thin woman with normal vital signs. Auscultation of the heart reveals a 3/6 blowing systolic murmur at the apex radiating to the axilla. Breath sounds are reduced at the base of the right lung. The abdomen is mildly distended but not tender. The liver and spleen are not enlarged. Electrocardiogram shows sinus rhythm with a non-specific intraventricular block. Chest X-ray shows an enlarged cardiac silhouette with mild pleural effusion. What is the most probable cause of dysphagia?",Left atrium enlargement,C
"A 67-year-old man presents to the office complaining of abdominal pain. He was started on a trial of proton pump inhibitors 5 weeks ago but the pain has not improved. He describes the pain as dull, cramping, and worse during meals. Medical history is unremarkable. Physical examination is normal except for tenderness in the epigastric region. Endoscopy reveals an eroding gastric ulcer in the proximal part of the greater curvature of the stomach overlying a large pulsing artery. Which of the following arteries is most likely visible?",Left gastro-omental artery,D
"A patient presents to his primary care physician with complaints of regular headaches and upper abdominal pain. On physical examination, his spleen and liver seem enlarged, and his face is plethoric. Gastroendoscopy reveals several gastric ulcers ranging from 5–3 mm in greatest dimension. A bone marrow aspirate shows hypercellularity with fibrosis and serum erythropoietin is low. The patient is informed about a new treatment with ruxolitinib for the main cause of his symptoms. Which of the conditions below can develop due to the same mutation that is causing this patient’s symptoms?",Essential thrombocythemia,E
"A 28-year-old woman presents with 2 episodes of blood-tinged emesis. She says that her symptoms onset acutely this morning and have not improved. She denies any associated fever, chills, or similar symptoms in the past. Past medical history is significant for irritable bowel syndrome (IBS). No current medications. She denies any smoking history or alcohol use. Review of systems (ROS) is notable for irregular menses. Her vitals are temperature 37.0°C (98.6°F), blood pressure is 120/80 mm Hg, pulse is 80/min, and respirations are 14/min. BMI is 24 kg/m2. Physical examination reveals an erythematous oropharynx with no tonsillar swelling or exudates. Firm parotid glands are present bilaterally. She also has several scars on her knuckles. Fecal occult blood test is negative. Which of the following findings would most likely be seen on upper endoscopy in this patient?",Mucosal tear of distal esophagus,C
"You are on your first day of a pathology rotation and the attending pathologist gives you a biopsy specimen to examine. She says it is from the antrum of the stomach of a 32-year-old man who has been complaining of abdominal pain for the past 6 months. The patient states the pain gets worse when eating. On endoscopy, there was a single ulcerated lesion with a 'punched out' appearance. What are the most likely histologic findings in this biopsy specimen?",A urease-positive organism,C
"A 45-year-old man undergoes an esophagogastroduodenoscopy for his recurrent episodes of epigastric pain. He also lost a significant amount of weight in the last 6 months. He says that he has been taking a number of dietary supplements ""to cope"". His past medical history is insignificant, and a physical examination is within normal limits. The endoscopy shows a bleeding ulcer in the proximal duodenum. Lab tests reveal a serum iron level of 130 μg/dL. However, his stool guaiac test is negative for occult blood. Over-ingestion of which of the following substances is the most likely cause for this patient’s lab findings?",Ascorbic acid,C
"A 45-year-old man is brought to the emergency department by ambulance after vomiting blood. The patient reports that he only ate a small snack the morning before and had not eaten anything for over 24 hours. At the hospital, the patient is stabilized. He is admitted to a surgical floor and placed on NPO with a nasogastric tube set to intermittent suction. He has been previously diagnosed with liver cirrhosis. An esophagogastroduodenoscopy (EGD) has been planned for the next afternoon. At the time of endoscopy, some pathways were generating glucose to maintain serum glucose levels. Which of the following enzymes catalyzes the irreversible biochemical reaction of this process?","Fructose-1,6-bisphosphatase",D
"A 52-year-old man presents with 2 months of diarrhea, abdominal pain, and fatigue. He reports a weight loss of 4 kg (8 lb). He also says his joints have been hurting recently, as well. Past medical history is unremarkable. Review of systems is significant for problems with concentration and memory. Physical examination is unremarkable. A GI endoscopy is performed with a biopsy of the small bowel. Which of the following histologic finding would most likely be seen in this patient?",PAS positive macrophages,B
"A 48-year-old woman presents to the doctor’s office complaining of frequent episodes of severe heartburn and chest pain. It feels like food is getting stuck in her throat somewhere. She wakes up at night in fits of coughing and in pain. Antacids and other over the counter remedies do not improve the discomfort. The physician feels that the patient has acid reflux and recommends upper gastrointestinal endoscopy and a trial of omeprazole. Several biopsies are taken during the endoscopy: one from the distal esophagus, one from the gastroesophageal junction, and one from the body of the stomach. Which histological finding would place her at the highest risk of developing esophageal adenocarcinoma in the near future?",The presence of high grade dysplasia at the Z line,E
"A 26-year-old man presents to the office complaining of persistent epigastric pain for the past 2 months. He states that his pain is worse a few hours after he eats. His father had similar symptoms. Past medical history is insignificant. He is a non-smoker and does not drink alcohol. The vital signs include blood pressure 120/90 mm Hg, heart rate 83/min, and temperature 37.0°C (98.6°F). Physical examination is insignificant except for mild epigastric tenderness. A metabolic panel reveals the following:
Serum sodium 136 mEq/L
Serum potassium 4.2 mEq/L
Calcium 13.2 mg/dL
Bicarbonate 26 mEq/L
Upper gastrointestinal endoscopy reveals multiple duodenal ulcers. Which of the following is the most likely diagnosis?",MEN1,E
"A 50-year-old man presents for a routine examination. Past medical history is significant for cirrhosis secondary to hepatitis C virus (HCV) infection diagnosed 4 years ago and complicated by ascites. Current medications include furosemide 40 mg orally daily. Physical examination is unremarkable. Laboratory findings are significant for the following:
Laboratory test
Aspartate Aminotransferase (AST) 80 U/L
Alanine Aminotransferase (ALT) 50 U/L
Total bilirubin 2.5 mg/dL
Direct bilirubin 1.8 mg/dL
Alkaline phosphatase (ALP) 140 U/L
International normalized ratido (INR) 1.9
Serum creatinine 1 mg/dL
Urinalysis
Sodium 200 mmol/24h
Potassium 60 mmol/24h
Protein Nil
RBCs Nil
RBC casts Nil
WBCs Nil
Urea 13 g/24h
Creatinine 6 mmol/24h
  Abdominal and renal ultrasound reveals no interval change over the past 6 months. Moderate ascites is present. Upper GI endoscopy reveals esophageal varices with a hepatic venous pressure gradient measuring 14 mm Hg. Diagnostic paracentesis is performed and yields a clear liquid with an absolute polymorphonuclear neutrophil (PMN) count of 75 cells/mm3. Which of the following is the most likely etiology of this patient’s condition?",Portal hypertension,C
"A 66-year-old man is brought to the emergency room by his wife due to abdominal distension and persistent somnolence for the past 2 weeks. The patient’s wife says that he has been sleeping much more than usual for the past 5 days. His bowel and bladder habit have not changed. His past medical history is significant for alcoholic liver cirrhosis. His vital signs include: pulse 76/min, respiratory rate 15/min, temperature 38.0°C (100.4°F) and blood pressure 122/75 mm Hg. On physical examination, the patient is altered and not responsive to commands. Oriented x 0. The abdomen is significantly distended. Shifting dullness is present and a positive fluid wave can be elicited. Hyperreflexia and asterixis are noted. Laboratory findings are significant for the following:
Laboratory test
Sodium 140 mEq/L
Potassium 3.5 mEq/L
Chloride 97 mEq/L
Glucose 90 mg/dL
Ammonia 100 µg/dL (ref: 19-60 µg/dL)
Arterial blood gas
pH 7.4
pCO2 40 mm Hg
pO2 90 mm Hg
HCO3 26 mEq/L
An abdominal ultrasound shows surface nodularity compatible with cirrhosis but no other changes aside from ascites. An upper GI endoscopy is performed which shows gastric varices with no signs of active bleeding. An MRI of the brain is insignificant. What is the most likely precipitating factor that led to this patient’s condition?",Spontaneous bacterial peritonitis,A
"A 32-year-old woman is brought to the emergency department by her husband because of an episode of hematemesis 2 hours ago. She has had dyspepsia for 2 years. Her medications include occasional ibuprofen for headaches. After initial stabilization, the risks and benefits of upper endoscopy and alternative treatments, including no therapy, are explained thoroughly. She shows a good understanding of her condition and an appreciation of endoscopic treatment and its complications. She decides that she wants to have an endoscopy to find the source of bleeding and appropriately manage the ulcer. Her medical records show advance directives that she signed 3 years ago; her sister, who is a nurse, has a durable power of attorney. Regarding obtaining informed consent, which of the following is the most accurate conclusion for providing endoscopic treatment for this patient?",Documentation of her decision prior to treatment is required,A
"A 19-year-old college student is brought to the emergency department with persistent vomiting overnight. He spent all day drinking beer yesterday at a college party according to his friends. He appears to be in shock and when asked about vomiting, he says that he vomited up blood about an hour ago. At the hospital, his vomit contains streaks of blood. His temperature is 37°C (98.6°F), respirations are 15/min, pulse is 107/min, and blood pressure is 90/68 mm Hg. A physical examination is performed and is within normal limits. Intravenous fluids are started and a blood sample is drawn for typing and cross-matching. An immediate upper gastrointestinal endoscopy reveals a longitudinal mucosal tear in the distal esophagus. What is the most likely diagnosis?",Mallory-Weiss tear,B
"A 76-year-old man presents to the physician because of dyspepsia and weight loss over the past 6 months. He has no history of any serious illnesses and takes no medications. A diagnostic workup including endoscopy and biopsy shows gastric adenocarcinoma. Before further workup and staging, the biopsy results are discussed with the patient. He refuses any type of life-prolonging treatment, including chemotherapy, radiation, or surgery, but he requests appropriate palliative care without any significant burden of healthcare costs. Regarding this patient’s eligibility for hospice care, what is the most appropriate next step?",Determining patient’s life-expectancy without treatment,B
"A 48-year-old Caucasian woman presents to her primary care provider complaining about difficulties while swallowing with fatigability and occasional palpitations for the past few weeks. Her personal history is relevant for bariatric surgery a year ago and a long list of allergies which includes peanuts, penicillin, and milk protein. Physical examination is unremarkable except for pale skin and mucosal surfaces, koilonychia, and glossitis. Which of the following descriptions would you expect to find in an endoscopy?",Luminal eccentric membranes,C
"A 58-year-old man presents to the emergency department with a 1-day history of difficulty swallowing. He also mentions that he has been frequently experiencing moderate to severe burning pain localized to the epigastric region for the last 3 weeks. The patient denies any history of vomiting, hematemesis, or black-colored stools. His past medical history is significant for gastroesophageal reflux disease diagnosed 10 years ago, for which he has not been compliant with medications. He has seen multiple physicians for similar complaints of retrosternal burning with regurgitation over the last 10 years but has not taken the medications suggested by the physicians regularly. He has never had a colonoscopy or endoscopy. He does not have any other known medical conditions, but he frequently takes over-the-counter analgesics for the relief of muscular pain. On physical examination, his vital signs are stable. Physical examination is normal except for the presence of mild pallor. Examination of the chest and abdomen does not reveal any abnormality. Which of the following investigations is indicated as the next step in the diagnostic evaluation of this patient?",Upper gastrointestinal endoscopy,E
"A 27-year-old new patient presents to the physician’s office with complaints of burning, upper abdominal pain for the past 6 months. The pain does not radiate and is only partially relieved by eating small meals, over the counter antacids, and PPI. He previously underwent upper endoscopy that revealed small ulcers in the stomach and duodenum. He had to relocate across the country before he could receive proper treatment or further workup. He also complains of constipation and urinary frequency. His mother has a history of peptic ulcer disease and recurrent kidney stones. Vital signs are normal. On physical examination, the patient is alert and not under distress. Abdominal examination reveals epigastric tenderness with no rebounding. Cardiopulmonary examination is unremarkable. A fecal occult blood test is positive. Laboratory results are as follows:
Sodium 142 mEq/L
Potassium  4.1 mEq/L
Chloride  108 mEq/L
Bicarbonate  22 mEq/L
Calcium  11.2 mg/dL
Phosphorus 2.0 mg/dL
Blood urea nitrogen 19 mg/dL
Creatinine 1.1 mg/dL
Additional evaluation is most likely to reveal which of the following?",Pituitary adenoma,E
"A 66-year-old man was referred for endoscopic evaluation due to iron deficiency anemia. He has had anorexia and weight loss for two months. Three years ago, the patient had coronary artery bypass grafting and aortic mechanical valve replacement. He has a 12-year history of diabetes mellitus and hypertension. He takes warfarin, lisinopril, amlodipine, metformin, aspirin, and carvedilol. His blood pressure is 115/65 mm Hg, pulse is 68/min, respirations are 14/min, temperature is 36.8°C (98.2°F), and blood glucose is 220 mg/dL. Conjunctivae are pale. Heart examination reveals a metallic click just before the carotid pulse. Which of the following is the most appropriate switch in this patient’s drug therapy before the endoscopy?",Warfarin to heparin,E
"A 55-year-old Caucasian man is referred to a gastroenterologist for difficulty in swallowing. He has been cutting his food into much smaller pieces when he eats for a little over a year. Recently, he has been having difficulty with liquid foods like soup as well. His past medical history is irrelevant, but he has noticed a 4 kg (8.8 lb) weight loss over the past 2 months. He is a smoker and has a BMI of 26 kg/m2. He regularly uses omeprazole for recurrent heartburn and ibuprofen for a frequent backache. On examination, the patient is afebrile and has no signs of pharyngeal inflammation, cervical lymphadenopathy, or palpable thyroid gland. A barium swallow imaging with an upper GI endoscopy is ordered. Which of the following is a risk factor for the condition that this patient has most likely developed?",Acid reflux,E
"A 47-year-old man presents with recurrent epigastric pain and diarrhea. He has had these symptoms for the last year or so and has been to the clinic several times with similar complaints. His current dosage of omeprazole has been steadily increasing to combat his symptoms. The pain seems to be related to food intake. He describes his diarrhea as watery and unrelated to his meals. Blood pressure is 115/80 mm Hg, pulse is 76/min, and respiratory rate is 19/min. He denies tobacco or alcohol use. He does not take any medications. An upper endoscopy is performed due to his unexplained and recurrent dyspepsia and reveals thickened gastric folds with three ulcers in the first part of the duodenum, all of which are negative for H. pylori. Which of the following is the best next step in this patient’s management?",Fasting serum gastrin levels,B
"A 35-year old Caucasian woman visits a community clinic and is presenting with a long history of early satiety, diarrhea, fatigue, hair loss, and brittle nails. Her family history is insignificant. Her personal history is relevant for iron deficiency anemia and vitamin B12 deficiency, as seen in her lab reports a few months back. Her physical examination is unremarkable except for pale skin and mucous surfaces, and glossitis. She brings with herself an upper endoscopy report describing antral atrophic gastritis. Which of the following tests would you expect to be positive in this patient?",Anti-parietal cell antibodies,C
"A 46-year-old man comes to the physician with chronic abdominal pain. He has a 3-year history of severe peptic ulcer disease and esophagitis. Two months ago, he took omeprazole, clarithromycin, and amoxicillin for 14 days. His medical history is otherwise unremarkable. Currently, he takes omeprazole 60 mg/day. He is a 10 pack-year smoker and consumes alcohol regularly. Vital signs are within normal limits. Mild epigastric tenderness is noted on deep palpation of the epigastrium. Laboratory studies show:
Serum
Calcium 9.5 mg/dL
Phosphorus 4 mg/dL
An upper endoscopy shows several large ulcers in the antrum and 2nd and 3rd parts of the duodenum. The rapid urease test is negative. Fasting gastrin levels are elevated. PET-CT with Ga-Dotatate shows a single mass in the wall of the duodenum. No other mass is detected. Pituitary MRI shows no abnormality. Which of the following is the most appropriate next step in management?",Surgical resection,F
"A 28-year-old man presents to his primary care provider complaining of intermittent stomach pain, non-bloody diarrhea, and weight loss for the last 3 months. He has occasional abdominal pain and fever. This condition makes studying difficult. He has tried omeprazole and dietary changes with no improvement. Past medical history is significant for occasional pain in the wrists and knees for several years. He takes ibuprofen for pain relief. His temperature is 38°C (100.4°F). On mental status examination, short-term memory is impaired. Attention and concentration are reduced. Examination shows no abnormalities or tenderness of the wrists or knees. There are no abnormalities on heart and lung examinations. Abdominal examination is normal. Upper endoscopy shows normal stomach mucosa but in the duodenum, there is pale yellow mucosa with erythema and ulcerations. Biopsies show infiltration of the lamina propria with periodic acid-Schiff (PAS)-positive macrophages. Which of the following best explains these findings?",Whipple’s disease,D
"A 31 year-old-man presents to an urgent care clinic with symptoms of lower abdominal pain, bloating, bloody diarrhea, and fullness, all of which have become more frequent over the last 3 months. His vital signs are as follows: blood pressure is 121/81 mm Hg, heart rate is 87/min, and respiratory rate is 15/min. Rectal examination reveals a small amount of bright red blood. Lower endoscopy is performed, showing extensive mucosal erythema, induration, and pseudopolyps extending from the rectum to the splenic flexure. Given the following options, what is the definitive treatment for this patient’s underlying disease?",Total proctocolectomy,E
"A 52-year-old woman visits her primary care practitioner, who has been following her closely after she was diagnosed with peptic ulcer disease. She tested positive for H. pylori in a urea breath test, which was later confirmed by an endoscopic biopsy. Her family history is significant for colorectal carcinoma, as well as ovarian cancer. Her past medical history is relevant for cigarette smoking and peptic ulcer disease, which has been under treatment twice, initially with a clarithromycin-containing regime. This was followed by a bismuth-containing regime after a fecal antigen test was positive 4 weeks later. A recent endoscopy and fecal antigen test detected H. pylori in her stomach mucosa. In addition to a protein pump inhibitor (PPI), which of the following should be added to the treatment regime of this patient?","Levofloxacin, amoxicillin",B
"A 22-year-old Caucasian female presents with severe right lower quadrant pain, malaise, and diarrhea. The physician performs an endoscopy and finds disease involvement in the terminal ileum, noting that that the disease process is patchy with normal intervening mucosa. The entire wall of the region is thickened and inflamed, which may directly lead to formation of:",Fistulas,A
"A 41-year-old female complains of frequent diarrhea and abdominal pain between meals. Endoscopy reveals a duodenal ulcer distal to the duodenal bulb. CT scan of the abdomen demonstrates a pancreatic mass, and subsequent tissue biopsy of the pancreas reveals a malignant islet cell tumor. Which of the following hormones is likely to be markedly elevated in this patient:",Gastrin,A
A 45-year-old Caucasian male presents to a gastroenterologist complaining of heartburn and difficulty swallowing. He recalls that he has been told by his primary care physician that he suffers from gastroesophageal reflux disease (GERD). The gastroenterologist decides to perform an upper endoscopy with biopsy. Which of the following findings would be consistent with Barrett's esophagus?,"A small region of red, velvet-like mucosa in the lower esophagus",C
"A 57-year-old female with a past medical history of alcoholism presents to the emergency room vomiting bright red blood. She is accompanied by her partner, who reports that she had been complaining of black and tarry stools for the past several days. Vital signs are temperature 37 degrees celsius, heart rate 141 beats per minute, blood pressure 90/60, respiratory rate 20, and oxygen saturation 99% on room air. On physical examination, she has splenomegaly and a positive fluid wave. The remainder of her examination is within normal limits. The patient is stabilized with intravenous fluids, and her blood pressure improves. Subsequent emergent upper endoscopy reveals bleeding from the submucosal veins in the lower 1/3 of the esophagus, but no gastric bleed. In the endoscopy suite she also receives IV octreotide. After intervention and resolution of her acute bleed, which of the following pharmacologic agents is indicated?",Nadalol,D
A 60-year-old male presents to your office for follow-up after an upper gastrointestinal (GI) endoscopy revealed the presence of esophageal varices. His medical history is significant for cirrhosis caused by heavy alcohol abuse for the past 20 years. He was instructed to follow-up with his primary care physician for management of his condition. Which of the following is the most appropriate next step for prevention of future variceal bleeding?,Nadolol,C
"To prepare for an endoscopy, a 27-year-old male was asked by the gastroenterologist to fast overnight for his 12 p.m. appointment the next day. Therefore, his last meal was dinner at 5 p.m. the day before the appointment. By 12 p.m. the day of the appointment, his primary source of glucose was being generated from gluconeogenesis, which occurs via the reversal of glycolysis with extra enzymes to bypass the irreversible steps in glycolysis. Which of the following irreversible steps of gluconeogenesis occurs in the mitochondria?",Pyruvate to oxaloacetate,C
