Event ID,Paragraph ID,Article ID,Head labels,Relation label,Tail labels,Head text,Relation text,Tail text,Sentence text,Group_relation_label
250,49,4,condition,LEADS TO,symptom,Transmural spread of inflammation,leads to,lymphedema and thickening of the bowel wall and mesentery,Transmural spread of inflammation leads to lymphedema and thickening of the bowel wall and mesentery,CAUSES
251,49,4,condition,RESULTS IN,condition,Extensive inflammation,may result in,"hypertrophy of the muscularis mucosae, fibrosis, and stricture formation","Extensive inflammation may result in hypertrophy of the muscularis mucosae, fibrosis, and stricture formation",CAUSES
252,49,4,condition,CAN LEAD TO,condition,stricture formation,can lead to,bowel obstruction,stricture formation can lead to bowel obstruction,CAUSES
253,50,4,"condition, symptom",CAUSES,"condition, symptom",Abscesses,"are common, and",fistulas often penetrate into adjoining structures,"Abscesses are common, and fistulas often penetrate into adjoining structures",CAUSES
254,50,4,"condition, symptom",CAUSES,"condition, symptom",Fistulas,may even extend to,the skin of the anterior abdomen or flanks,Fistulas may even extend to the skin of the anterior abdomen or flanks,CAUSES
255,50,4,condition,IMPLIES,"condition, symptom",Intra-abdominal disease activity,independently of,perianal fistulas and abscesses occur in 25 to 33% of cases,Intra-abdominal disease activity independently of perianal fistulas and abscesses occur in 25 to 33% of cases,IMPLIES
256,50,4,condition,CAUSES,"condition, symptom",Crohn disease,complications are frequently the most troublesome aspects of,perianal fistulas and abscesses,Crohn disease complications are frequently the most troublesome aspects of perianal fistulas and abscesses,CAUSES
257,50,4,"condition, symptom",CAUSES,condition,Noncaseating granulomas,can occur in,"lymph nodes, peritoneum, the liver, and all layers of the bowel wall","Noncaseating granulomas can occur in lymph nodes, peritoneum, the liver, and all layers of the bowel wall",CAUSES
258,50,4,"condition, symptom",NEGATES,condition,Granulomas,are not detected in about half of patients with,Crohn disease,Granulomas are not detected in about half of patients with Crohn disease,NEGATES
259,51,4,condition,CAUSES,symptom,Crohn disease,causes,"chronic diarrhea with abdominal pain, fever, anorexia, and weight loss","Crohn disease causes chronic diarrhea with abdominal pain, fever, anorexia, and weight loss",CAUSES
260,51,4,condition,CAUSES,symptom,Crohn disease,causes,tender abdomen and palpable mass or fullness,Crohn disease causes tender abdomen and palpable mass or fullness,CAUSES
261,51,4,condition,NEGATES,symptom,Crohn disease,does not usually cause,gross rectal bleeding,Crohn disease does not usually cause gross rectal bleeding,NEGATES
262,51,4,condition,CAUSES,condition,isolated colonic Crohn disease,may manifest similarly to,ulcerative colitis,isolated colonic Crohn disease may manifest similarly to ulcerative colitis,CAUSES
263,51,4,condition,CAUSES,symptom,Crohn disease,causes,acute abdomen simulating acute appendicitis or intestinal obstruction,Crohn disease causes acute abdomen simulating acute appendicitis or intestinal obstruction,CAUSES
264,51,4,condition,CAUSES,condition,Crohn disease,causes,perianal disease (fissures and fistulas),Crohn disease causes perianal disease (fissures and fistulas),CAUSES
265,51,4,condition,THRESHOLD,symptom,perianal disease in Crohn disease,is sometimes the most prominent or initial complaint in,patients,perianal disease in Crohn disease is sometimes the most prominent or initial complaint in patients,THRESHOLD
266,52,4,"condition, symptom",IMPLIES,condition,inflammatory or obstructive symptoms,should be suspected in,Crohn disease,inflammatory or obstructive symptoms should be suspected in Crohn disease,IMPLIES
267,52,4,symptom,IMPLIES,condition,perianal fistulas or abscesses,should be suspected in,Crohn disease,perianal fistulas or abscesses should be suspected in Crohn disease,IMPLIES
268,52,4,symptom,IMPLIES,condition,"unexplained arthritis, erythema nodosum, fever, anemia, or stunted growth",should be suspected in,Crohn disease,"unexplained arthritis, erythema nodosum, fever, anemia, or stunted growth should be suspected in Crohn disease",IMPLIES
269,52,4,risk factor,INCREASES,condition,family history of Crohn disease,increases the index of suspicion for,Crohn disease,family history of Crohn disease increases the index of suspicion for Crohn disease,CAUSES
270,52,4,condition,CAUSES,symptom,Crohn disease,may cause,inflammatory or obstructive symptoms,Crohn disease may cause inflammatory or obstructive symptoms,CAUSES
271,52,4,condition,CAUSES,symptom,Crohn disease,may cause,perianal fistulas or abscesses,Crohn disease may cause perianal fistulas or abscesses,CAUSES
272,52,4,condition,CAUSES,symptom,Crohn disease,may cause,"unexplained arthritis, erythema nodosum, fever, anemia, or stunted growth","Crohn disease may cause unexplained arthritis, erythema nodosum, fever, anemia, or stunted growth",CAUSES
273,52,4,condition,OR,condition,Crohn disease,may be similar to,ulcerative colitis,Crohn disease may be similar to ulcerative colitis,OR
274,52,4,condition,CAUSES,symptom,ulcerative colitis,may cause,similar symptoms and signs as Crohn disease,ulcerative colitis may cause similar symptoms and signs as Crohn disease,CAUSES
275,52,4,condition,AND,condition,Crohn disease confined to the colon,may be difficult to differentiate from,ulcerative colitis,Crohn disease confined to the colon may be difficult to differentiate from ulcerative colitis,AND
276,53,4,"symptom, condition",RELIEVED_BY,treatment,Cramps and diarrhea,may be relieved by,oral administration of loperamide 2 to 4 mg or antispasmodic drugs up to 4 times a day,Cramps and diarrhea may be relieved by oral administration of loperamide 2 to 4 mg or antispasmodic drugs up to 4 times a day,TREATMENT
277,53,4,treatment,SAFE_EXCEPT,condition,Symptomatic treatment,"is safe, except in cases of","severe, acute Crohn colitis","Symptomatic treatment is safe, except in cases of severe, acute Crohn colitis",NEGATES
278,53,4,condition,PROGRESSES_TO,condition,"Severe, acute Crohn colitis",may progress to,toxic colitis,"Severe, acute Crohn colitis may progress to toxic colitis",IMPLIES
279,53,4,treatment,HELPS_PREVENT,symptom,Hydrophilic mucilloids,sometimes help prevent,anal irritation,Hydrophilic mucilloids sometimes help prevent anal irritation,CAUSES
280,53,4,treatment,INCREASES,condition,Hydrophilic mucilloids,by increasing,stool firmness,Hydrophilic mucilloids by increasing stool firmness,CAUSES
281,53,4,dietary factor,AVOIDED_IN,condition,Dietary roughage,is to be avoided in,stricturing disease or active colonic inflammation,Dietary roughage is to be avoided in stricturing disease or active colonic inflammation,NEGATES
282,53,4,health measure,EMPHASIZED,general health,Routine health maintenance measures,should be emphasized,general health,Routine health maintenance measures should be emphasized general health,EMPHASIZED
283,54,4,condition,CHARACTERIZED_BY,symptom,Established Crohn disease,is characterized by,intermittent exacerbations and remissions,Established Crohn disease is characterized by intermittent exacerbations and remissions,CLASSIFICATION
284,54,4,condition,CAUSES,symptom,severe Crohn disease,causes,"frequent, debilitating periods of pain","severe Crohn disease causes frequent, debilitating periods of pain",CAUSES
285,54,4,treatment,IMPLIES,outcome,judicious medical therapy and surgical therapy,implies,most patients function well and adapt successfully,judicious medical therapy and surgical therapy implies most patients function well and adapt successfully,IMPLIES
286,54,4,condition,NEGATES,outcome,Established Crohn disease,negates,cure,Established Crohn disease negates cure,NEGATES
287,54,4,condition,CAUSES,outcome,"GI cancer, including cancer of the colon and small bowel",causes,excess Crohn disease-related mortality,"GI cancer, including cancer of the colon and small bowel causes excess Crohn disease-related mortality",CAUSES
288,54,4,condition,CAUSES,outcome,Thromboembolic complications,may cause,death,Thromboembolic complications may cause death,CAUSES
289,55,5,"condition, symptom",IMPLIES,condition,Gastrointestinal (GI) bleeding,can originate anywhere from the mouth to the anus,location of bleeding,Gastrointestinal (GI) bleeding can originate anywhere from the mouth to the anus location of bleeding,IMPLIES
290,55,5,condition,CAUSES,symptom,Upper GI bleeding,indicates,hematemesis,Upper GI bleeding indicates hematemesis,CAUSES
291,55,5,symptom,IMPLIES,condition,Hematemesis,indicates,upper GI bleeding,Hematemesis indicates upper GI bleeding,IMPLIES
292,55,5,condition,CAUSES,symptom,Upper GI bleeding,results in,coffee-ground emesis,Upper GI bleeding results in coffee-ground emesis,CAUSES
293,55,5,symptom,IMPLIES,condition,Coffee-ground emesis,results from,upper GI bleeding that has slowed or stopped,Coffee-ground emesis results from upper GI bleeding that has slowed or stopped,IMPLIES
294,55,5,condition,CAUSES,symptom,"Peptic ulcer, vascular lesion, or varix",usually causes,upper GI bleeding,"Peptic ulcer, vascular lesion, or varix usually causes upper GI bleeding",CAUSES
295,56,5,"condition, symptom",IMPLIES,condition,Hematochezia,usually indicates,lower GI bleeding,Hematochezia usually indicates lower GI bleeding,IMPLIES
296,56,5,"condition, symptom",OR,condition,Hematochezia,may result from,vigorous upper GI bleeding with rapid transit,Hematochezia may result from vigorous upper GI bleeding with rapid transit,OR
297,56,5,"condition, symptom",IMPLIES,condition,Melena,typically indicates,upper GI bleeding,Melena typically indicates upper GI bleeding,IMPLIES
298,56,5,"condition, symptom",OR,condition,Melena,may also be the cause of,bleeding from a source in the small bowel or right colon,Melena may also be the cause of bleeding from a source in the small bowel or right colon,OR
299,56,5,condition,THRESHOLD,"condition, symptom",100 to 200 mL of blood in the upper GI tract,is required to cause,melena,100 to 200 mL of blood in the upper GI tract is required to cause melena,THRESHOLD
300,56,5,"condition, symptom",CAUSES,condition,Black stool that does not contain occult blood,may result from ingestion of,"iron, bismuth, or various foods","Black stool that does not contain occult blood may result from ingestion of iron, bismuth, or various foods",CAUSES
301,56,5,"condition, symptom",NEGATES,"condition, symptom",Black stool that does not contain occult blood,should not be mistaken for,melena,Black stool that does not contain occult blood should not be mistaken for melena,NEGATES
302,57,5,"condition, symptom",CAUSES,condition,Chronic occult bleeding,can occur from anywhere in the GI tract,detectable by chemical testing of a stool specimen,Chronic occult bleeding can occur from anywhere in the GI tract detectable by chemical testing of a stool specimen,CAUSES
303,57,5,"condition, symptom",CAUSES,"condition, symptom","Acute, severe bleeding",can occur from anywhere in the GI tract,signs of shock,"Acute, severe bleeding can occur from anywhere in the GI tract signs of shock",CAUSES
304,57,5,"condition, risk factor",CAUSES,condition,underlying ischemic heart disease,may develop,angina or myocardial infarction,underlying ischemic heart disease may develop angina or myocardial infarction,CAUSES
305,57,5,condition,CAUSES,condition,coronary hypoperfusion,because of,angina or myocardial infarction,coronary hypoperfusion because of angina or myocardial infarction,CAUSES
306,57,5,"condition, risk factor",CAUSES,condition,GI bleeding in patients with underlying liver disease,may precipitate,portosystemic encephalopathy or hepatorenal syndrome,GI bleeding in patients with underlying liver disease may precipitate portosystemic encephalopathy or hepatorenal syndrome,CAUSES
307,57,5,condition,CAUSES,condition,hepatorenal syndrome,secondary to,liver failure,hepatorenal syndrome secondary to liver failure,CAUSES
308,58,5,condition,CAUSES,condition,chronic liver disease,is more likely and potentially more severe in,GI bleeding,chronic liver disease is more likely and potentially more severe in GI bleeding,CAUSES
309,58,5,condition,CAUSES,condition,hereditary coagulation disorders,is more likely and potentially more severe in,GI bleeding,hereditary coagulation disorders is more likely and potentially more severe in GI bleeding,CAUSES
310,58,5,treatment,CAUSES,condition,anticoagulants,associated with,GI bleeding,anticoagulants associated with GI bleeding,CAUSES
311,58,5,treatment,CAUSES,condition,medications affecting platelet function,associated with,GI bleeding,medications affecting platelet function associated with GI bleeding,CAUSES
312,58,5,treatment,CAUSES,condition,medications affecting mucosal defenses,associated with,GI bleeding,medications affecting mucosal defenses associated with GI bleeding,CAUSES
313,59,5,condition,CAUSES,"condition, symptom",duodenal ulcer,causes,upper GI bleeding,duodenal ulcer causes upper GI bleeding,CAUSES
314,59,5,condition,CAUSES,"condition, symptom",gastric or duodenal erosions,causes,upper GI bleeding,gastric or duodenal erosions causes upper GI bleeding,CAUSES
315,59,5,condition,CAUSES,"condition, symptom",varices,causes,upper GI bleeding,varices causes upper GI bleeding,CAUSES
316,59,5,condition,CAUSES,"condition, symptom",gastric ulcer,causes,upper GI bleeding,gastric ulcer causes upper GI bleeding,CAUSES
317,59,5,condition,CAUSES,"condition, symptom",Mallory-Weiss tear,causes,upper GI bleeding,Mallory-Weiss tear causes upper GI bleeding,CAUSES
318,59,5,condition,CAUSES,"condition, symptom",erosive esophagitis,causes,upper GI bleeding,erosive esophagitis causes upper GI bleeding,CAUSES
319,59,5,condition,CAUSES,"condition, symptom",angioma,causes,upper GI bleeding,angioma causes upper GI bleeding,CAUSES
320,59,5,condition,CAUSES,"condition, symptom",arteriovenous malformations,causes,upper GI bleeding,arteriovenous malformations causes upper GI bleeding,CAUSES
321,59,5,condition,CAUSES,"condition, symptom",gastrointestinal stromal tumors,causes,upper GI bleeding,gastrointestinal stromal tumors causes upper GI bleeding,CAUSES
322,59,5,condition,CAUSES,"condition, symptom",hemobilia,causes,upper GI bleeding,hemobilia causes upper GI bleeding,CAUSES
323,60,5,condition,CAUSES,symptom,anal fissures,causes,lower GI bleeding,anal fissures causes lower GI bleeding,CAUSES
324,60,5,condition,CAUSES,symptom,angiodysplasia,causes,lower GI bleeding,angiodysplasia causes lower GI bleeding,CAUSES
325,60,5,condition,CAUSES,symptom,colitis,causes,lower GI bleeding,colitis causes lower GI bleeding,CAUSES
326,60,5,condition,CAUSES,symptom,colonic carcinoma,causes,lower GI bleeding,colonic carcinoma causes lower GI bleeding,CAUSES
327,60,5,condition,CAUSES,symptom,colonic polyps,causes,lower GI bleeding,colonic polyps causes lower GI bleeding,CAUSES
328,60,5,condition,CAUSES,symptom,diverticular disease,causes,lower GI bleeding,diverticular disease causes lower GI bleeding,CAUSES
329,60,5,condition,CAUSES,symptom,inflammatory bowel disease,causes,lower GI bleeding,inflammatory bowel disease causes lower GI bleeding,CAUSES
330,60,5,condition,CAUSES,symptom,internal hemorrhoids,causes,lower GI bleeding,internal hemorrhoids causes lower GI bleeding,CAUSES
331,61,5,condition,IMPLIES,condition,Small-bowel lesions,can include,"angiomas, arteriovenous malformations, Meckel diverticulum, and tumors","Small-bowel lesions can include angiomas, arteriovenous malformations, Meckel diverticulum, and tumors",IMPLIES
332,62,5,condition,REQUIRES,treatment,acutely ill patients,stabilization with,"airway management, IV fluids, or transfusions","acutely ill patients stabilization with airway management, IV fluids, or transfusions",THRESHOLD
333,63,5,"condition, symptom",IMPLIES,"condition, symptom",hematemesis,should be asked whether blood was passed with initial vomiting or only after an initial nonbloody emesis,blood passage,hematemesis should be asked whether blood was passed with initial vomiting or only after an initial nonbloody emesis blood passage,IMPLIES
334,63,5,"condition, symptom",IMPLIES,"condition, symptom",rectal bleeding,"should be asked whether pure blood was passed; whether it was mixed with stool, pus, or mucus; or whether blood simply coated the stool or toilet paper",blood passage,"rectal bleeding should be asked whether pure blood was passed; whether it was mixed with stool, pus, or mucus; or whether blood simply coated the stool or toilet paper blood passage",IMPLIES
335,64,5,"condition, symptom",CAUSES,"condition, symptom",acute loss of blood,develop,orthostatic changes in pulse or blood pressure,acute loss of blood develop orthostatic changes in pulse or blood pressure,CAUSES
336,65,5,"condition, risk factor",CAUSES,symptom,hypovolemia,suggest,syncope,hypovolemia suggest syncope,CAUSES
337,65,5,"condition, risk factor",CAUSES,symptom,hypovolemia,suggest,hypotension,hypovolemia suggest hypotension,CAUSES
338,65,5,"condition, risk factor",CAUSES,symptom,hypovolemia,suggest,pallor,hypovolemia suggest pallor,CAUSES
339,65,5,"condition, risk factor",CAUSES,symptom,hypovolemia,suggest,diaphoresis,hypovolemia suggest diaphoresis,CAUSES
340,65,5,"condition, risk factor",CAUSES,symptom,hypovolemia,suggest,tachycardia,hypovolemia suggest tachycardia,CAUSES
341,65,5,"condition, risk factor",CAUSES,symptom,hypovolemia,suggest,oliguria,hypovolemia suggest oliguria,CAUSES
342,65,5,"condition, risk factor",CAUSES,symptom,hemorrhagic shock,suggest,syncope,hemorrhagic shock suggest syncope,CAUSES
343,65,5,"condition, risk factor",CAUSES,symptom,hemorrhagic shock,suggest,hypotension,hemorrhagic shock suggest hypotension,CAUSES
344,65,5,"condition, risk factor",CAUSES,symptom,hemorrhagic shock,suggest,pallor,hemorrhagic shock suggest pallor,CAUSES
345,65,5,"condition, risk factor",CAUSES,symptom,hemorrhagic shock,suggest,diaphoresis,hemorrhagic shock suggest diaphoresis,CAUSES
346,65,5,"condition, risk factor",CAUSES,symptom,hemorrhagic shock,suggest,tachycardia,hemorrhagic shock suggest tachycardia,CAUSES
347,65,5,"condition, risk factor",CAUSES,symptom,hemorrhagic shock,suggest,oliguria,hemorrhagic shock suggest oliguria,CAUSES
348,66,5,symptom,SUGGESTS,condition,Epigastric abdominal discomfort relieved by food or antacids,suggests,peptic ulcer disease,Epigastric abdominal discomfort relieved by food or antacids suggests peptic ulcer disease,DIAGNOSIS/DETECTION
349,66,5,symptom,SUGGESTS,condition,Weight loss and anorexia,suggest,GI cancer,Weight loss and anorexia suggest GI cancer,DIAGNOSIS/DETECTION
350,66,5,"risk factor, condition",SUGGESTS,condition,History of cirrhosis or chronic hepatitis,suggests,esophageal varices,History of cirrhosis or chronic hepatitis suggests esophageal varices,DIAGNOSIS/DETECTION
351,67,5,"condition, symptom",IMPLIES,diagnosis,suspected diagnosis,help confirm,"Complete blood count, coagulation profile, and often other laboratory studies","suspected diagnosis help confirm Complete blood count, coagulation profile, and often other laboratory studies",IMPLIES
352,67,5,"condition, symptom",IMPLIES,treatment,minimal rectal bleeding,for all but those with,Nasogastric tube,minimal rectal bleeding for all but those with Nasogastric tube,IMPLIES
353,67,5,"condition, symptom",IMPLIES,treatment,suspected upper GI bleeding,for,Upper endoscopy,suspected upper GI bleeding for Upper endoscopy,IMPLIES
354,67,5,"condition, symptom",IMPLIES,treatment,lower GI bleeding,for,Colonoscopy,lower GI bleeding for Colonoscopy,IMPLIES
355,67,5,"condition, symptom",IMPLIES,treatment,upper and lower GI bleeding,Sometimes,angiography,upper and lower GI bleeding Sometimes angiography,IMPLIES
356,68,5,"condition, symptom",IMPLIES,"treatment, procedure",severe GI bleeding,requires,admission to an intensive care unit or other monitored setting,severe GI bleeding requires admission to an intensive care unit or other monitored setting,IMPLIES
357,68,5,"condition, symptom",IMPLIES,"treatment, procedure",severe GI bleeding,requires,consultation by both a gastroenterologist and a surgeon,severe GI bleeding requires consultation by both a gastroenterologist and a surgeon,IMPLIES
358,68,5,symptom,IMPLIES,condition,hematemesis,indicates,emergency,hematemesis indicates emergency,IMPLIES
359,68,5,symptom,IMPLIES,condition,hematochezia,indicates,emergency,hematochezia indicates emergency,IMPLIES
360,68,5,symptom,IMPLIES,condition,melena,indicates,emergency,melena indicates emergency,IMPLIES
361,68,5,condition,CAUSES,treatment,severe GI bleeding,may require,IV fluid resuscitation,severe GI bleeding may require IV fluid resuscitation,CAUSES
362,68,5,condition,CAUSES,treatment,severe GI bleeding,may require,blood transfusion,severe GI bleeding may require blood transfusion,CAUSES
363,68,5,condition,CAUSES,treatment,severe GI bleeding,may require,medications,severe GI bleeding may require medications,CAUSES
364,68,5,condition,CAUSES,procedure,severe GI bleeding,may require,endoscopic or angiographic hemostasis,severe GI bleeding may require endoscopic or angiographic hemostasis,CAUSES
365,69,5,"condition, risk factor",CAUSES,"condition, symptom",active upper GI bleeding,is a major cause of,aspiration of blood with subsequent respiratory compromise,active upper GI bleeding is a major cause of aspiration of blood with subsequent respiratory compromise,CAUSES
366,69,5,"condition, symptom",IMPLIES,treatment,aspiration of blood with subsequent respiratory compromise,"To prevent these problems,",endotracheal intubation should be considered,"aspiration of blood with subsequent respiratory compromise To prevent these problems, endotracheal intubation should be considered",IMPLIES
367,69,5,"condition, symptom",THRESHOLD,condition,inadequate gag reflexes or are obtunded or unconscious,in patients who have,active upper GI bleeding,inadequate gag reflexes or are obtunded or unconscious in patients who have active upper GI bleeding,THRESHOLD
368,70,5,treatment,IMPLIES,condition,Intravenous access,should be obtained immediately,hypovolemia or hemorrhagic shock,Intravenous access should be obtained immediately hypovolemia or hemorrhagic shock,IMPLIES
369,70,5,treatment,IMPLIES,condition,IV fluids,are initiated immediately,hypovolemia or hemorrhagic shock,IV fluids are initiated immediately hypovolemia or hemorrhagic shock,IMPLIES
370,70,5,condition,IMPLIES,treatment,Patients requiring further resuscitation,should receive,transfusion with packed RBCs,Patients requiring further resuscitation should receive transfusion with packed RBCs,IMPLIES
371,70,5,condition,IMPLIES,treatment,severe bleeding,may require,platelet transfusion,severe bleeding may require platelet transfusion,IMPLIES
372,70,5,condition,AND,symptom,hypovolemia,or,hemorrhagic shock,hypovolemia or hemorrhagic shock,AND
373,70,5,condition,IMPLIES,monitoring,severe bleeding,should be monitored closely,platelet count,severe bleeding should be monitored closely platelet count,IMPLIES
374,71,5,treatment,IMPLIES,"condition, risk factor",IV proton pump inhibitor,may be started in cases of,possible upper GI bleeding,IV proton pump inhibitor may be started in cases of possible upper GI bleeding,IMPLIES
375,71,5,treatment,CAUSES,condition,IV proton pump inhibitor,should be used if,gastroduodenal ulcer is confirmed as the source of bleeding,IV proton pump inhibitor should be used if gastroduodenal ulcer is confirmed as the source of bleeding,CAUSES
376,71,5,treatment,IMPLIES,"condition, risk factor",Octreotide,is used in patients with,suspected variceal bleeding,Octreotide is used in patients with suspected variceal bleeding,IMPLIES
377,72,5,"condition, symptom",IMPLIES,treatment,GI bleeding stops spontaneously in about 80% of patients,implies,no intervention required,GI bleeding stops spontaneously in about 80% of patients implies no intervention required,IMPLIES
378,72,5,"condition, symptom",CAUSES,treatment,GI bleeding does not stop spontaneously,causes,require some type of intervention,GI bleeding does not stop spontaneously causes require some type of intervention,CAUSES
379,72,5,"condition, symptom",THRESHOLD,treatment,Specific therapy,depends on,bleeding site,Specific therapy depends on bleeding site,THRESHOLD
380,72,5,treatment,CAUSES,outcome,Early intervention to control bleeding,causes,minimize mortality,Early intervention to control bleeding causes minimize mortality,CAUSES
381,72,5,risk factor,AND,outcome,older adults,and,increased mortality risk,older adults and increased mortality risk,AND
382,73,5,condition,CAUSES,symptom,hemorrhoids,are the most common causes of,minor bleeding,hemorrhoids are the most common causes of minor bleeding,CAUSES
383,73,5,condition,CAUSES,symptom,colorectal cancer,are the most common causes of,minor bleeding,colorectal cancer are the most common causes of minor bleeding,CAUSES
384,73,5,condition,CAUSES,symptom,peptic ulcer,are the most common causes of,major bleeding,peptic ulcer are the most common causes of major bleeding,CAUSES
385,73,5,condition,CAUSES,symptom,diverticular disease,are the most common causes of,major bleeding,diverticular disease are the most common causes of major bleeding,CAUSES
386,73,5,condition,CAUSES,symptom,angiodysplasia,are the most common causes of,major bleeding,angiodysplasia are the most common causes of major bleeding,CAUSES
387,73,5,condition,CAUSES,symptom,variceal bleeding,is less common than in younger patients,bleeding,variceal bleeding is less common than in younger patients bleeding,CAUSES
388,74,5,"condition, symptom",CAUSES,risk factor,Massive GI bleeding,is tolerated poorly by,older adults,Massive GI bleeding is tolerated poorly by older adults,CAUSES
389,74,5,"condition, symptom",IMPLIES,treatment,Massive GI bleeding,requires,quick diagnosis and treatment,Massive GI bleeding requires quick diagnosis and treatment,IMPLIES
390,74,5,risk factor,NEGATES,risk factor,older adults,compared to,younger patients,older adults compared to younger patients,NEGATES
391,74,5,"condition, symptom",THRESHOLD,treatment,Massive GI bleeding,requires treatment sooner than,in younger patients,Massive GI bleeding requires treatment sooner than in younger patients,THRESHOLD
392,75,6,"condition, treatment",CAUSES,condition,surgical vagotomy for peptic ulcer disease,may cause,recurrent ulcer,surgical vagotomy for peptic ulcer disease may cause recurrent ulcer,CAUSES
393,75,6,condition,IMPLIES,diagnostic procedure,recurrent ulcer after surgical vagotomy,implies the need for,gastric acid analysis,recurrent ulcer after surgical vagotomy implies the need for gastric acid analysis,IMPLIES
394,75,6,diagnostic procedure,IMPLIES,condition,positive acid response to stimulation (sham feeding),implies,incomplete vagotomy,positive acid response to stimulation (sham feeding) implies incomplete vagotomy,IMPLIES
395,76,6,"condition, symptom",IMPLIES,condition,elevated serum gastrin levels and hyperchlorhydria,usually indicates,Zollinger-Ellison syndrome,elevated serum gastrin levels and hyperchlorhydria usually indicates Zollinger-Ellison syndrome,IMPLIES
396,76,6,"condition, symptom",IMPLIES,condition,elevated serum gastrin levels and hypochlorhydria,indicates,impairment of acid output,elevated serum gastrin levels and hypochlorhydria indicates impairment of acid output,IMPLIES
397,76,6,condition,CAUSES,condition,pernicious anemia,such as occurs in,impairment of acid output,pernicious anemia such as occurs in impairment of acid output,CAUSES
398,76,6,condition,CAUSES,condition,atrophic gastritis,such as occurs in,impairment of acid output,atrophic gastritis such as occurs in impairment of acid output,CAUSES
399,76,6,condition,CAUSES,condition,Ménétrier disease,such as occurs in,impairment of acid output,Ménétrier disease such as occurs in impairment of acid output,CAUSES
400,76,6,treatment,CAUSES,condition,inhibition of gastric acid secretion by potent antisecretory medications,after,impairment of acid output,inhibition of gastric acid secretion by potent antisecretory medications after impairment of acid output,CAUSES
401,77,6,"treatment, procedure",IMPLIES,"condition, diagnostic procedure",nasogastric tube insertion and gastric content aspiration,implies,gastric analysis,nasogastric tube insertion and gastric content aspiration implies gastric analysis,IMPLIES
402,78,6,"procedure, diagnostic test",AND,"procedure, diagnostic test",Gastric analysis,can also be done during,catheter-based esophageal pH-monitoring,Gastric analysis can also be done during catheter-based esophageal pH-monitoring,AND
403,79,6,procedure,IMPLIES,condition,gastric analysis,complications are very rare,complications,gastric analysis complications are very rare complications,IMPLIES
404,80,7,condition,CAUSES,symptom,Colorectal cancer,Symptoms include,blood in the stool,Colorectal cancer Symptoms include blood in the stool,CAUSES
405,80,7,condition,CAUSES,symptom,Colorectal cancer,Symptoms include,change in bowel habits,Colorectal cancer Symptoms include change in bowel habits,CAUSES
406,80,7,condition,DIAGNOSED_BY,procedure,Colorectal cancer,Diagnosis is by,colonoscopy,Colorectal cancer Diagnosis is by colonoscopy,RECOMMENDATION
407,80,7,condition,TREATED_BY,treatment,Colorectal cancer,Treatment is,surgical resection,Colorectal cancer Treatment is surgical resection,TREATMENT
408,80,7,condition,TREATED_BY,treatment,Colorectal cancer,Treatment is,chemotherapy for nodal involvement,Colorectal cancer Treatment is chemotherapy for nodal involvement,TREATMENT
409,80,7,risk factor,DECREASES,condition,Behavioral measures,may decrease risk of,colorectal cancer,Behavioral measures may decrease risk of colorectal cancer,NEGATES
410,80,7,"treatment, risk factor",DECREASES,condition,low-dose aspirin,may decrease risk of,colorectal cancer,low-dose aspirin may decrease risk of colorectal cancer,NEGATES
411,81,7,condition,IMPLIES,risk factor,Colorectal cancer,is more likely to occur with,age 40 to 50,Colorectal cancer is more likely to occur with age 40 to 50,IMPLIES
412,81,7,condition,CAUSES,outcome,Improved screening and diagnosis at earlier stages of disease,has led to,decreased number of colorectal cancer deaths,Improved screening and diagnosis at earlier stages of disease has led to decreased number of colorectal cancer deaths,CAUSES
413,82,7,condition,IMPLIES,location,Colorectal cancer,occurs in,rectum and sigmoid,Colorectal cancer occurs in rectum and sigmoid,IMPLIES
414,82,7,condition,IMPLIES,type,Colorectal cancer,are,adenocarcinomas,Colorectal cancer are adenocarcinomas,IMPLIES
415,82,7,condition,CAUSES,demographic,Colorectal cancer,is more common among,men than women,Colorectal cancer is more common among men than women,CAUSES
416,82,7,condition,IMPLIES,condition,Colorectal cancer,can include,synchronous cancers,Colorectal cancer can include synchronous cancers,IMPLIES
417,82,7,condition,THRESHOLD,percentage,Synchronous cancers,occur in about,5% of patients,Synchronous cancers occur in about 5% of patients,THRESHOLD
418,83,7,"condition, risk factor",CAUSES,condition,adenomatous polyps,transformation within,Colorectal cancer (CRC),adenomatous polyps transformation within Colorectal cancer (CRC),CAUSES
419,83,7,condition,IMPLIES,condition,Colorectal cancer (CRC),most often occurs as,transformation within adenomatous polyps,Colorectal cancer (CRC) most often occurs as transformation within adenomatous polyps,IMPLIES
420,83,7,condition,CAUSES,condition,Familial adenomatous polyposis,predispose to,Colorectal cancer (CRC),Familial adenomatous polyposis predispose to Colorectal cancer (CRC),CAUSES
421,83,7,condition,CAUSES,condition,Lynch syndrome,predispose to,Colorectal cancer (CRC),Lynch syndrome predispose to Colorectal cancer (CRC),CAUSES
422,83,7,condition,CAUSES,condition,Peutz-Jeghers syndrome,predispose to,Colorectal cancer (CRC),Peutz-Jeghers syndrome predispose to Colorectal cancer (CRC),CAUSES
423,83,7,condition,CAUSES,condition,Juvenile polyposis syndrome,predispose to,Colorectal cancer (CRC),Juvenile polyposis syndrome predispose to Colorectal cancer (CRC),CAUSES
